"BehaviorSpace results (NetLogo 6.1.1)"
"paranoid_final.nlogo"
"sw-st_random-50-3%"
"02/25/2020 15:10:27:576 +0100"
"[run number]","_network_type","discovery_type","_nodes","proportion_paranoid","stability-factor","[step]","count turtles","count turtles with [standard? = true]","count turtles with [paranoid? = true]","count turtles with [p? = true]","count turtles with [notp? = true]","count turtles with [paranoid? = true and notp? = true]","count turtles with [standard? = true and notp? = true]","count turtles with [paranoid? = true and p? = true]","count turtles with [standard? = true and p? = true]","sum [betweenness-centrality_p] of turtles","sum [betweenness-centrality_notp] of turtles","[ranking] of turtles with [discover_p? = true]","[ranking] of turtles with [discover_notp? = true]"
"11","small-world","standard_random","50","3","200","399","50","49","1","50","0","0","0","1","49","0","0","[1]","[]"
"2","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","186","0","[1]","[]"
"6","small-world","standard_random","50","3","200","399","50","49","1","50","0","0","0","1","49","0","0","[1]","[]"
"12","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","716","0","[1]","[]"
"13","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","1045","0","[1]","[]"
"7","small-world","standard_random","50","3","200","399","50","49","1","48","2","1","1","0","48","1063","48","[0.25]","[]"
"4","small-world","standard_random","50","3","200","399","50","49","1","48","2","1","1","0","48","352","48","[1]","[]"
"3","small-world","standard_random","50","3","200","399","50","49","1","42","8","1","7","0","42","998","362","[0.5]","[]"
"1","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","782","0","[0.3333333333333333]","[]"
"5","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","48","0","[0.3333333333333333]","[]"
"8","small-world","standard_random","50","3","200","399","50","49","1","42","8","1","7","0","42","759","407","[1]","[]"
"17","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","468","0","[0.5]","[]"
"10","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","186","0","[0.3333333333333333]","[]"
"15","small-world","standard_random","50","3","200","399","50","49","1","48","2","1","1","0","48","707","48","[0.5]","[]"
"14","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","229","0","[0.2]","[]"
"9","small-world","standard_random","50","3","200","399","50","49","1","20","30","1","29","0","20","708","2817","[0.5]","[]"
"16","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","586","0","[1]","[]"
"18","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","589","0","[0.5]","[]"
"21","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","227","0","[0.25]","[]"
"19","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","577","0","[1]","[]"
"24","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","141","0","[1]","[]"
"23","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","48","0","[0.5]","[]"
"22","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","230","0","[1]","[]"
"26","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","1028","0","[1]","[]"
"25","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","912","0","[1]","[]"
"20","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","1103","0","[0.2]","[]"
"30","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","186","0","[1]","[]"
"29","small-world","standard_random","50","3","200","399","50","49","1","46","4","1","3","0","46","267","188","[1]","[]"
"28","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","961","0","[0.5]","[]"
"27","small-world","standard_random","50","3","200","399","50","49","1","49","1","1","0","0","49","988","0","[1]","[]"
