run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,linear,paranoid_max,150,50,200,599,150,75,75,75,75,38,37,37,38,550138,551300,,149
13,linear,paranoid_max,150,50,200,599,150,75,75,72,78,38,40,37,35,544880,551300,,149
6,linear,paranoid_max,150,50,200,599,150,75,75,71,79,37,42,38,33,550858,551300,,149
5,linear,paranoid_max,150,50,200,599,150,75,75,87,63,37,26,38,49,551300,551300,,149
2,linear,paranoid_max,150,50,200,599,150,75,75,76,74,37,37,38,38,550858,551300,,149
7,linear,paranoid_max,150,50,200,599,150,75,75,79,71,37,34,38,41,551300,551300,,149
8,linear,paranoid_max,150,50,200,599,150,75,75,78,72,37,35,38,40,549304,551300,,149
11,linear,paranoid_max,150,50,200,599,150,75,75,77,73,38,35,37,40,550572,551300,,149
3,linear,paranoid_max,150,50,200,599,150,75,75,80,70,38,32,37,43,551300,551300,,149
10,linear,paranoid_max,150,50,200,599,150,75,75,80,70,37,33,38,42,551300,551300,,149
12,linear,paranoid_max,150,50,200,599,150,75,75,77,73,37,36,38,39,550858,551300,,149
9,linear,paranoid_max,150,50,200,599,150,75,75,73,77,37,40,38,35,551300,551300,,149
4,linear,paranoid_max,150,50,200,599,150,75,75,66,84,37,47,38,28,549042,551300,,149
15,linear,paranoid_max,150,50,200,599,150,75,75,82,68,38,30,37,45,551300,551300,,149
14,linear,paranoid_max,150,50,200,599,150,75,75,72,78,37,41,38,34,550858,551300,,149
16,linear,paranoid_max,150,50,200,599,150,75,75,77,73,38,35,37,40,550858,551300,,149
17,linear,paranoid_max,150,50,200,599,150,75,75,77,73,37,36,38,39,551300,551300,,149
26,linear,paranoid_max,150,50,200,599,150,75,75,74,76,38,38,37,37,551152,551300,,149
18,linear,paranoid_max,150,50,200,599,150,75,75,76,74,37,37,38,38,551152,551300,,149
27,linear,paranoid_max,150,50,200,599,150,75,75,69,81,38,43,37,32,550580,551300,,149
20,linear,paranoid_max,150,50,200,599,150,75,75,66,84,38,46,37,29,550572,551300,,149
19,linear,paranoid_max,150,50,200,599,150,75,75,76,74,38,36,37,39,551152,551300,,149
21,linear,paranoid_max,150,50,200,599,150,75,75,75,75,38,37,37,38,551300,551300,,149
29,linear,paranoid_max,150,50,200,599,150,75,75,72,78,38,40,37,35,550138,551300,,149
30,linear,paranoid_max,150,50,200,599,150,75,75,85,65,38,27,37,48,550858,551300,,149
22,linear,paranoid_max,150,50,200,599,150,75,75,74,76,38,38,37,37,551152,551300,,149
28,linear,paranoid_max,150,50,200,599,150,75,75,73,77,37,40,38,35,550442,551300,,149
23,linear,paranoid_max,150,50,200,599,150,75,75,63,87,38,49,37,26,551300,551300,,149
24,linear,paranoid_max,150,50,200,599,150,75,75,76,74,37,37,38,38,551152,551300,,149
25,linear,paranoid_max,150,50,200,599,150,75,75,78,72,38,34,37,41,549320,551300,,149
