run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,linear,paranoid_min,300,12,200,599,300,264,36,142,158,18,140,18,124,262198,2083668,,0
13,linear,paranoid_min,300,12,200,599,300,264,36,168,132,18,114,18,150,281774,1607200,,0
2,linear,paranoid_min,300,12,200,599,300,264,36,183,117,18,99,18,165,230854,1271570,,0
8,linear,paranoid_min,300,12,200,599,300,264,36,159,141,18,123,18,141,264114,1631680,,0
12,linear,paranoid_min,300,12,200,599,300,264,36,151,149,18,131,18,133,262370,2093266,,0
3,linear,paranoid_min,300,12,200,599,300,264,36,145,155,18,137,18,127,276676,2137496,,0
6,linear,paranoid_min,300,12,200,599,300,264,36,117,183,18,165,18,99,235880,2493312,,0
10,linear,paranoid_min,300,12,200,599,300,264,36,162,138,18,120,18,144,225218,2004722,,0
7,linear,paranoid_min,300,12,200,599,300,264,36,170,130,18,112,18,152,239292,1789460,,0
11,linear,paranoid_min,300,12,200,599,300,264,36,160,140,18,122,18,142,249060,1715646,,0
4,linear,paranoid_min,300,12,200,599,300,264,36,140,160,18,142,18,122,229300,2124094,,0
5,linear,paranoid_min,300,12,200,599,300,264,36,152,148,18,130,18,134,262460,2064418,,0
14,linear,paranoid_min,300,12,200,599,300,264,36,149,151,18,133,18,131,263738,1847324,,0
9,linear,paranoid_min,300,12,200,599,300,264,36,123,177,18,159,18,105,230688,2308222,,0
15,linear,paranoid_min,300,12,200,599,300,264,36,174,126,18,108,18,156,258842,1694484,,0
16,linear,paranoid_min,300,12,200,599,300,264,36,150,150,18,132,18,132,220034,2060208,,0
18,linear,paranoid_min,300,12,200,599,300,264,36,147,153,18,135,18,129,234052,2276622,,0
25,linear,paranoid_min,300,12,200,599,300,264,36,153,147,18,129,18,135,244822,1753746,,0
22,linear,paranoid_min,300,12,200,599,300,264,36,149,151,18,133,18,131,265512,1948128,,0
19,linear,paranoid_min,300,12,200,599,300,264,36,159,141,18,123,18,141,282680,1707126,,0
20,linear,paranoid_min,300,12,200,599,300,264,36,115,185,18,167,18,97,243258,2452314,,0
17,linear,paranoid_min,300,12,200,599,300,264,36,193,107,18,89,18,175,253104,1314184,,0
23,linear,paranoid_min,300,12,200,599,300,264,36,142,158,18,140,18,124,284674,1723478,,0
21,linear,paranoid_min,300,12,200,599,300,264,36,154,146,18,128,18,136,286524,1783780,,0
26,linear,paranoid_min,300,12,200,599,300,264,36,157,143,18,125,18,139,275112,1918052,,0
27,linear,paranoid_min,300,12,200,599,300,264,36,145,155,18,137,18,127,278964,1840820,,0
24,linear,paranoid_min,300,12,200,599,300,264,36,147,153,18,135,18,129,298220,1893730,,0
28,linear,paranoid_min,300,12,200,599,300,264,36,168,132,18,114,18,150,261114,1649438,,0
29,linear,paranoid_min,300,12,200,599,300,264,36,128,172,18,154,18,110,275864,2495122,,0
30,linear,paranoid_min,300,12,200,599,300,264,36,156,144,18,126,18,138,251836,2031440,,0
