run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,linear,paranoid_random,50,50,200,399,50,25,25,24,26,13,13,12,12,19342,15852,,24
13,linear,paranoid_random,50,50,200,399,50,25,25,22,28,13,15,12,10,18436,18084,,34
14,linear,paranoid_random,50,50,200,399,50,25,25,19,31,12,19,13,6,19320,18278,,39
6,linear,paranoid_random,50,50,200,399,50,25,25,24,26,13,13,12,12,19420,17064,,13
3,linear,paranoid_random,50,50,200,399,50,25,25,26,24,13,11,12,14,19420,17142,,15
15,linear,paranoid_random,50,50,200,399,50,25,25,27,23,13,10,12,15,19320,17222,,27
8,linear,paranoid_random,50,50,200,399,50,25,25,31,19,12,7,13,18,18568,18654,,38
9,linear,paranoid_random,50,50,200,399,50,25,25,29,21,12,9,13,16,19552,17344,,15
11,linear,paranoid_random,50,50,200,399,50,25,25,21,29,13,16,12,9,19600,14668,,4
12,linear,paranoid_random,50,50,200,399,50,25,25,17,33,12,21,13,4,19600,17366,,37
5,linear,paranoid_random,50,50,200,399,50,25,25,23,27,13,14,12,11,19458,16370,,27
2,linear,paranoid_random,50,50,200,399,50,25,25,27,23,12,11,13,14,19600,19368,,46
7,linear,paranoid_random,50,50,200,399,50,25,25,22,28,13,15,12,10,19600,15732,,20
4,linear,paranoid_random,50,50,200,399,50,25,25,25,25,12,13,13,12,19600,18942,,41
10,linear,paranoid_random,50,50,200,399,50,25,25,25,25,13,12,12,13,19600,19188,,45
18,linear,paranoid_random,50,50,200,399,50,25,25,24,26,12,14,13,11,19462,19052,,37
16,linear,paranoid_random,50,50,200,399,50,25,25,26,24,13,11,12,14,19320,18816,,35
28,linear,paranoid_random,50,50,200,399,50,25,25,19,31,12,19,13,6,19458,19342,,38
17,linear,paranoid_random,50,50,200,399,50,25,25,22,28,12,16,13,9,19552,18906,,42
19,linear,paranoid_random,50,50,200,399,50,25,25,30,20,12,8,13,17,19552,15788,,28
21,linear,paranoid_random,50,50,200,399,50,25,25,26,24,12,12,13,13,17346,15070,,4
30,linear,paranoid_random,50,50,200,399,50,25,25,23,27,13,14,12,11,19552,19600,,49
20,linear,paranoid_random,50,50,200,399,50,25,25,26,24,12,12,13,13,19600,18654,,36
22,linear,paranoid_random,50,50,200,399,50,25,25,25,25,13,12,12,13,19140,15680,,14
24,linear,paranoid_random,50,50,200,399,50,25,25,26,24,13,11,12,14,14142,11444,,2
29,linear,paranoid_random,50,50,200,399,50,25,25,30,20,12,8,13,17,19600,18524,,40
23,linear,paranoid_random,50,50,200,399,50,25,25,24,26,12,14,13,11,19342,16402,,12
27,linear,paranoid_random,50,50,200,399,50,25,25,30,20,12,8,13,17,19600,15328,,12
26,linear,paranoid_random,50,50,200,399,50,25,25,30,20,12,8,13,17,19342,16566,,17
25,linear,paranoid_random,50,50,200,399,50,25,25,23,27,12,15,13,10,19164,18538,,29
