run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,linear,standard_max,300,3,200,599,300,291,9,145,155,5,150,4,141,2561188,2786770,299,
13,linear,standard_max,300,3,200,799,300,291,9,224,76,5,71,4,220,4366894,4432428,299,
2,linear,standard_max,300,3,200,799,300,291,9,166,134,5,129,4,162,3355742,4091308,299,
3,linear,standard_max,300,3,200,799,300,291,9,107,193,5,188,4,103,3841130,4129250,299,
4,linear,standard_max,300,3,200,799,300,291,9,193,107,5,102,4,189,3565692,4037280,299,
11,linear,standard_max,300,3,200,799,300,291,9,200,100,5,95,4,196,4251198,4299890,299,
9,linear,standard_max,300,3,200,799,300,291,9,160,140,5,135,4,156,4393332,4424720,299,
7,linear,standard_max,300,3,200,799,300,291,9,197,103,5,98,4,193,3693610,3844910,299,
5,linear,standard_max,300,3,200,799,300,291,9,127,173,5,168,4,123,3963536,4199680,299,
12,linear,standard_max,300,3,200,799,300,291,9,154,146,5,141,4,150,4149088,4341420,299,
8,linear,standard_max,300,3,200,799,300,291,9,140,160,5,155,4,136,4409798,4428710,299,
6,linear,standard_max,300,3,200,799,300,291,9,225,75,5,70,4,221,4185574,4308668,299,
10,linear,standard_max,300,3,200,799,300,291,9,205,95,5,90,4,201,4301070,4442000,299,
14,linear,standard_max,300,3,200,599,300,291,9,193,107,5,102,4,189,2427776,2824448,299,
16,linear,standard_max,300,3,200,799,300,291,9,172,128,5,123,4,168,3744146,3952528,299,
15,linear,standard_max,300,3,200,799,300,291,9,173,127,5,122,4,169,3647882,4400760,299,
18,linear,standard_max,300,3,200,799,300,291,9,208,92,5,87,4,204,4379228,4444540,299,
17,linear,standard_max,300,3,200,799,300,291,9,170,130,4,126,5,165,4411436,4454802,299,
21,linear,standard_max,300,3,200,799,300,291,9,112,188,5,183,4,108,4183378,4376900,299,
19,linear,standard_max,300,3,200,799,300,291,9,167,133,5,128,4,163,3892626,4454208,299,
26,linear,standard_max,300,3,200,799,300,291,9,86,214,5,209,4,82,3856754,4153548,299,
23,linear,standard_max,300,3,200,799,300,291,9,67,233,5,228,4,63,4436760,4453320,299,
20,linear,standard_max,300,3,200,799,300,291,9,146,154,5,149,4,142,4219928,4281640,299,
24,linear,standard_max,300,3,200,799,300,291,9,188,112,5,107,4,184,4259160,4370300,299,
22,linear,standard_max,300,3,200,799,300,291,9,109,191,5,186,4,105,3343786,4433520,299,
25,linear,standard_max,300,3,200,799,300,291,9,87,213,5,208,4,83,3365382,4439040,299,
27,linear,standard_max,300,3,200,799,300,291,9,48,252,5,247,4,44,4385576,4444540,299,
28,linear,standard_max,300,3,200,799,300,291,9,90,210,5,205,4,86,4104450,4454802,299,
29,linear,standard_max,300,3,200,799,300,291,9,153,147,5,142,4,149,2545888,4354856,299,
30,linear,standard_max,300,3,200,799,300,291,9,69,231,5,226,4,65,4437052,4452140,299,
