run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,linear,standard_min,300,12,200,599,300,264,36,173,127,18,109,18,155,259170,1809682,0,
13,linear,standard_min,300,12,200,599,300,264,36,119,181,18,163,18,101,266544,2427468,0,
2,linear,standard_min,300,12,200,599,300,264,36,201,99,18,81,18,183,297490,1332434,0,
8,linear,standard_min,300,12,200,599,300,264,36,126,174,18,156,18,108,290850,2463138,0,
10,linear,standard_min,300,12,200,599,300,264,36,178,122,18,104,18,160,282454,1591506,0,
6,linear,standard_min,300,12,200,599,300,264,36,143,157,18,139,18,125,265106,1992516,0,
11,linear,standard_min,300,12,200,599,300,264,36,126,174,18,156,18,108,275584,2255578,0,
4,linear,standard_min,300,12,200,599,300,264,36,177,123,18,105,18,159,256260,1512110,0,
14,linear,standard_min,300,12,200,599,300,264,36,183,117,18,99,18,165,247640,1512042,0,
12,linear,standard_min,300,12,200,599,300,264,36,187,113,18,95,18,169,265898,1506464,0,
9,linear,standard_min,300,12,200,599,300,264,36,161,139,18,121,18,143,294450,1845206,0,
5,linear,standard_min,300,12,200,599,300,264,36,108,192,18,174,18,90,254814,2815110,0,
7,linear,standard_min,300,12,200,599,300,264,36,139,161,18,143,18,121,298642,2258010,0,
3,linear,standard_min,300,12,200,599,300,264,36,141,159,18,141,18,123,258276,2075644,0,
16,linear,standard_min,300,12,200,599,300,264,36,173,127,18,109,18,155,269328,1665584,0,
15,linear,standard_min,300,12,200,599,300,264,36,109,191,18,173,18,91,239524,2648880,0,
21,linear,standard_min,300,12,200,599,300,264,36,140,160,18,142,18,122,249966,2124534,0,
22,linear,standard_min,300,12,200,599,300,264,36,175,125,18,107,18,157,263206,1957578,0,
25,linear,standard_min,300,12,200,599,300,264,36,142,158,18,140,18,124,274090,2155436,0,
19,linear,standard_min,300,12,200,599,300,264,36,150,150,18,132,18,132,259796,1882524,0,
23,linear,standard_min,300,12,200,599,300,264,36,122,178,18,160,18,104,270628,2356054,0,
24,linear,standard_min,300,12,200,599,300,264,36,130,170,18,152,18,112,272184,2304742,0,
26,linear,standard_min,300,12,200,599,300,264,36,135,165,18,147,18,117,292576,2400898,0,
17,linear,standard_min,300,12,200,599,300,264,36,122,178,18,160,18,104,247454,2619080,0,
18,linear,standard_min,300,12,200,599,300,264,36,153,147,18,129,18,135,266068,1932306,0,
20,linear,standard_min,300,12,200,599,300,264,36,146,154,18,136,18,128,290438,1794864,0,
27,linear,standard_min,300,12,200,599,300,264,36,143,157,18,139,18,125,274960,1938364,0,
29,linear,standard_min,300,12,200,599,300,264,36,191,109,18,91,18,173,273346,1166646,0,
28,linear,standard_min,300,12,200,599,300,264,36,163,137,18,119,18,145,292288,1900774,0,
30,linear,standard_min,300,12,200,599,300,264,36,152,148,18,130,18,134,252354,1963238,0,
