run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,linear,standard_random,50,50,200,399,50,25,25,28,22,12,10,13,15,19414,14116,39,
13,linear,standard_random,50,50,200,399,50,25,25,26,24,13,11,12,14,19600,14368,6,
14,linear,standard_random,50,50,200,399,50,25,25,29,21,13,8,12,17,19600,14826,24,
10,linear,standard_random,50,50,200,399,50,25,25,26,24,13,11,12,14,19278,12360,9,
15,linear,standard_random,50,50,200,399,50,25,25,26,24,13,11,12,14,19414,14570,11,
11,linear,standard_random,50,50,200,399,50,25,25,22,28,13,15,12,10,19458,15068,41,
4,linear,standard_random,50,50,200,399,50,25,25,23,27,12,15,13,10,19600,15732,49,
12,linear,standard_random,50,50,200,399,50,25,25,26,24,12,12,13,13,19552,14860,37,
2,linear,standard_random,50,50,200,399,50,25,25,28,22,12,10,13,15,19506,16106,49,
6,linear,standard_random,50,50,200,399,50,25,25,26,24,12,12,13,13,19600,15416,41,
7,linear,standard_random,50,50,200,399,50,25,25,29,21,12,9,13,16,4942,4544,1,
8,linear,standard_random,50,50,200,399,50,25,25,25,25,12,13,13,12,18800,13742,24,
3,linear,standard_random,50,50,200,399,50,25,25,30,20,13,7,12,18,19552,14214,28,
9,linear,standard_random,50,50,200,399,50,25,25,25,25,12,13,13,12,19414,14266,11,
5,linear,standard_random,50,50,200,399,50,25,25,34,16,13,3,12,22,19200,12934,18,
17,linear,standard_random,50,50,200,399,50,25,25,22,28,13,15,12,10,19552,14936,40,
28,linear,standard_random,50,50,200,399,50,25,25,26,24,12,12,13,13,19458,14492,30,
16,linear,standard_random,50,50,200,399,50,25,25,25,25,12,13,13,12,19368,15052,7,
18,linear,standard_random,50,50,200,399,50,25,25,25,25,12,13,13,12,19552,16220,9,
20,linear,standard_random,50,50,200,399,50,25,25,29,21,12,9,13,16,19458,14010,48,
29,linear,standard_random,50,50,200,399,50,25,25,24,26,12,14,13,11,19600,15508,21,
19,linear,standard_random,50,50,200,399,50,25,25,28,22,12,10,13,15,18260,12652,38,
22,linear,standard_random,50,50,200,399,50,25,25,29,21,12,9,13,16,19458,14082,30,
23,linear,standard_random,50,50,200,399,50,25,25,24,26,13,13,12,12,19600,15762,22,
21,linear,standard_random,50,50,200,399,50,25,25,29,21,13,8,12,17,19600,17314,24,
27,linear,standard_random,50,50,200,399,50,25,25,30,20,13,7,12,18,19600,15288,19,
24,linear,standard_random,50,50,200,399,50,25,25,22,28,13,15,12,10,19552,14638,18,
26,linear,standard_random,50,50,200,399,50,25,25,26,24,12,12,13,13,19278,14878,13,
25,linear,standard_random,50,50,200,399,50,25,25,20,30,12,18,13,7,19600,13534,22,
30,linear,standard_random,50,50,200,399,50,25,25,23,27,13,14,12,11,19600,14400,39,
