run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,random,standard_random,50,12,200,399,50,44,6,10,0,0,0,0,10,0,0,1,
13,random,standard_random,50,12,200,399,50,44,6,20,3,3,0,1,19,251,0,1,
14,random,standard_random,50,12,200,399,50,44,6,8,0,0,0,0,8,0,0,0.5,
15,random,standard_random,50,12,200,399,50,44,6,38,8,4,4,2,36,1119,419,1,
8,random,standard_random,50,12,200,399,50,44,6,29,2,2,0,1,28,198,0,1,
12,random,standard_random,50,12,200,399,50,44,6,17,4,2,2,0,17,172,55,1,
2,random,standard_random,50,12,200,399,50,44,6,18,5,1,4,1,17,309,132,1,
6,random,standard_random,50,12,200,399,50,44,6,25,11,1,10,4,21,67,516,0.5,
9,random,standard_random,50,12,200,399,50,44,6,27,11,4,7,1,26,1305,833,1,
16,random,standard_random,50,12,200,399,50,44,6,42,8,5,3,1,41,1030,95,0.3333333333333333,
7,random,standard_random,50,12,200,399,50,44,6,47,3,3,0,3,44,1188,0,0.5,
5,random,standard_random,50,12,200,399,50,44,6,48,2,2,0,4,44,1184,0,1,
4,random,standard_random,50,12,200,399,50,44,6,45,5,3,2,3,42,869,142,0.3333333333333333,
11,random,standard_random,50,12,200,399,50,44,6,35,9,2,7,4,31,497,2085,0.5,
3,random,standard_random,50,12,200,399,50,44,6,43,7,6,1,0,43,1687,48,1,
10,random,standard_random,50,12,200,399,50,44,6,30,20,4,16,2,28,1378,2818,0.2,
22,random,standard_random,50,12,200,399,50,44,6,17,16,4,12,1,16,580,988,0.3333333333333333,
29,random,standard_random,50,12,200,399,50,44,6,17,3,2,1,0,17,83.5,28.5,1,
19,random,standard_random,50,12,200,399,50,44,6,40,3,3,0,2,38,691,0,0.5,
24,random,standard_random,50,12,200,399,50,44,6,30,1,1,0,1,29,57,0,0.3333333333333333,
17,random,standard_random,50,12,200,399,50,44,6,18,26,0,26,6,12,0,2857,0.3333333333333333,
27,random,standard_random,50,12,200,399,50,44,6,23,6,2,4,1,22,310,178,0.5,
20,random,standard_random,50,12,200,399,50,44,6,46,4,3,1,3,43,328,48,1,
26,random,standard_random,50,12,200,399,50,44,6,32,5,4,1,1,31,718,35,1,
23,random,standard_random,50,12,200,399,50,44,6,43,7,4,3,2,41,1549,636,0.5,
25,random,standard_random,50,12,200,399,50,44,6,32,12,3,9,2,30,927,1140,0.3333333333333333,
18,random,standard_random,50,12,200,399,50,44,6,8,42,4,38,2,6,140,6629,0.3333333333333333,
30,random,standard_random,50,12,200,399,50,44,6,32,18,4,14,2,30,1645,1466,0.5,
21,random,standard_random,50,12,200,399,50,44,6,42,8,3,5,3,39,1229,495,0.5,
28,random,standard_random,50,12,200,399,50,44,6,45,5,3,2,3,42,1850,361,0.3333333333333333,
