run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
11,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
3,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
1,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
4,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
9,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
5,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
7,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
2,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
8,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
10,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
6,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
12,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
13,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
16,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
14,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
17,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
15,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
19,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
18,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
20,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
21,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
22,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
23,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
24,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
25,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
26,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
28,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
27,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
29,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
30,total,standard_random,50,12,200,399,50,44,6,50,0,0,0,6,44,0,0,0,
