run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,small-world,contradictory_random,300,50,200,399,300,150,150,143,157,64,93,86,57,82756,144928,0.5,1
13,small-world,contradictory_random,300,50,200,399,300,150,150,146,154,58,96,92,54,50507,125141,1,1
7,small-world,contradictory_random,300,50,200,399,300,150,150,133,167,86,81,64,69,90252,85667,1,1
6,small-world,contradictory_random,300,50,200,399,300,150,150,160,140,89,51,61,99,134652,87248,1,1
4,small-world,contradictory_random,300,50,200,399,300,150,150,163,137,71,66,79,84,88769,88758,1,1
5,small-world,contradictory_random,300,50,200,399,300,150,150,136,164,68,96,82,54,101064,101330,0.5,1
11,small-world,contradictory_random,300,50,200,399,300,150,150,144,156,96,60,54,90,115520,57833,0.3333333333333333,1
2,small-world,contradictory_random,300,50,200,399,300,150,150,161,139,56,83,94,67,67828,118446,1,0.5
10,small-world,contradictory_random,300,50,200,399,300,150,150,140,160,59,101,91,49,75345,117396,0.25,1
12,small-world,contradictory_random,300,50,200,399,300,150,150,164,136,82,54,68,96,98078,89507,1,1
3,small-world,contradictory_random,300,50,200,399,300,150,150,149,151,50,101,100,49,47598,171503,1,1
9,small-world,contradictory_random,300,50,200,399,300,150,150,154,146,77,69,73,81,90336,113969,1,1
8,small-world,contradictory_random,300,50,200,399,300,150,150,148,152,66,86,84,64,61067,154705,1,1
14,small-world,contradictory_random,300,50,200,399,300,150,150,157,143,82,61,68,89,134300,69298,1,1
19,small-world,contradictory_random,300,50,200,399,300,150,150,146,154,93,61,57,89,147196,112614,1,1
15,small-world,contradictory_random,300,50,200,399,300,150,150,156,144,93,51,57,99,146820,77840,0.3333333333333333,1
23,small-world,contradictory_random,300,50,200,399,300,150,150,145,155,100,55,50,95,111634,53534,0.14285714285714285,1
26,small-world,contradictory_random,300,50,200,399,300,150,150,137,163,94,69,56,81,105707,62527,1,0.16666666666666666
24,small-world,contradictory_random,300,50,200,399,300,150,150,164,136,89,47,61,103,135630,71633,1,1
17,small-world,contradictory_random,300,50,200,399,300,150,150,156,144,62,82,88,68,95253,131133,1,0.5
18,small-world,contradictory_random,300,50,200,399,300,150,150,160,140,85,55,65,95,105478,68716,1,1
21,small-world,contradictory_random,300,50,200,399,300,150,150,143,157,63,94,87,56,69810,146220,1,1
22,small-world,contradictory_random,300,50,200,399,300,150,150,145,155,97,58,53,92,157512,48743,1,1
20,small-world,contradictory_random,300,50,200,399,300,150,150,152,148,65,83,85,67,111559,134723,1,1
25,small-world,contradictory_random,300,50,200,399,300,150,150,145,155,71,84,79,66,81109,125510,1,0.5
16,small-world,contradictory_random,300,50,200,399,300,150,150,159,141,86,55,64,95,139912,86592,1,0.2
30,small-world,contradictory_random,300,50,200,399,300,150,150,144,156,83,73,67,77,153386,108908,1,1
27,small-world,contradictory_random,300,50,200,399,300,150,150,145,155,71,84,79,66,89280,103808,1,1
29,small-world,contradictory_random,300,50,200,399,300,150,150,154,146,79,67,71,83,125135,106166,1,0.5
28,small-world,contradictory_random,300,50,200,399,300,150,150,156,144,92,52,58,98,178368,128284,1,1
