run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,5,45,1,44,5,0,0,3768,1,0.09090909090909091
13,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,8,42,1,41,5,3,48,2683,1,0.05263157894736842
14,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,8,42,2,40,4,4,48,3008,1,0.06666666666666667
6,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,5,45,1,44,5,0,0,2999,1,0.07142857142857142
15,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,3,47,3,44,3,0,48,3778,1,0.07692307692307693
11,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,24,26,3,23,3,21,1007,1494,1,0.08333333333333333
10,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,36,14,3,11,3,33,1781,838,1,0.1111111111111111
9,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,19,31,1,30,5,14,0,2486,1,0.08333333333333333
17,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,4,46,2,44,4,0,0,3749,1,0.09090909090909091
7,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,6,44,1,43,5,1,0,3340,1,0.09090909090909091
4,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,18,32,1,31,5,13,0,2472,1,0.07692307692307693
12,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,7,43,2,41,4,3,0,2733,1,0.058823529411764705
2,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,10,40,1,39,5,5,0,3252,1,0.0625
8,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,26,24,2,22,4,22,578,2494,1,0.1
5,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,10,40,1,39,5,5,141,3013,1,0.05263157894736842
3,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,6,44,1,43,5,1,0,3203,1,0.09090909090909091
21,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,19,31,2,29,4,15,615,2468,1,0.07142857142857142
16,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,11,39,2,37,4,7,269,3092,1,0.07692307692307693
20,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,37,13,2,11,4,33,841,812,1,0.1
29,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,9,41,3,38,3,6,95,2645,1,0.0625
18,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,18,32,1,31,5,13,311,2934,1,0.07142857142857142
22,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,9,41,1,40,5,4,0,3285,1,0.07142857142857142
24,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,25,25,3,22,3,22,885,2875,1,0.1111111111111111
19,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,4,46,2,44,4,0,0,3024,1,0.06666666666666667
30,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,6,44,3,41,3,3,278,3506,1,0.1111111111111111
27,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,11,39,1,38,5,6,0,3246,1,0.1
23,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,6,44,1,43,5,1,0,2811,1,0.0625
26,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,5,45,1,44,5,0,0,3272,1,0.06666666666666667
25,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,23,27,2,25,4,19,141,1928,1,0.07142857142857142
28,small-world,contradictory_std-max_prd-min,50,12,200,399,50,44,6,10,40,1,39,5,5,0,3464,1,0.07692307692307693
