run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,193,107,6,101,3,190,22916,77541,0.03571428571428571,1
13,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,140,160,3,157,6,134,43327,108973,0.03225806451612903,1
2,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,261,39,9,30,0,261,84106,23856,0.019230769230769232,1
12,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,277,23,9,14,0,277,82688,6735,0.037037037037037035,1
4,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,269,31,8,23,1,268,90024,16421,0.021739130434782608,1
5,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,272,28,6,22,3,269,18928,9076,0.05263157894736842,1
14,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,289,11,8,3,1,288,76903,23937,0.02127659574468085,1
9,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,279,21,8,13,1,278,85598,27630,0.022727272727272728,1
3,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,252,48,8,40,1,251,41315,21831,0.041666666666666664,1
6,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,290,10,9,1,0,290,61707,23235,0.02702702702702703,1
10,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,280,20,7,13,2,278,46645,9887,0.022727272727272728,1
11,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,284,16,8,8,1,283,64395,17140,0.038461538461538464,1
7,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,278,22,9,13,0,278,125061,89100,0.02702702702702703,1
8,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,288,12,8,4,1,287,68952,5296,0.017543859649122806,1
19,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,210,90,6,84,3,207,81297,84398,0.025,1
15,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,288,12,9,3,0,288,48003,10937,0.045454545454545456,1
16,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,282,18,8,10,1,281,112582,21133,0.038461538461538464,1
17,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,276,24,7,17,2,274,88406,24170,0.04,1
25,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,286,14,8,6,1,285,72608,1786,0.022222222222222223,1
18,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,282,18,9,9,0,282,66584,14225,0.03571428571428571,1
23,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,291,9,9,0,0,291,84802,0,0.03571428571428571,1
27,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,264,36,7,29,2,262,23512,12354,0.034482758620689655,1
20,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,184,116,5,111,4,180,51914,85148,0.03333333333333333,1
22,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,238,62,7,55,2,236,51227,34937,0.05,1
21,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,211,89,6,83,3,208,56314,45722,0.02564102564102564,1
24,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,231,69,8,61,1,230,85444,65836,0.023255813953488372,1
26,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,284,16,9,7,0,284,78317,4148,0.03125,1
28,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,280,20,7,13,2,278,66969,33597,0.024390243902439025,1
29,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,283,17,7,10,2,281,98910,50868,0.03125,1
30,small-world,contradictory_std-min_prd-max,300,3,200,399,300,291,9,284,16,8,8,1,283,110501,22905,0.02631578947368421,1
