run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,small-world,paranoid_max,300,50,200,399,300,150,150,146,154,74,80,76,70,84090,92777,,1
3,small-world,paranoid_max,300,50,200,399,300,150,150,153,147,62,85,88,65,72155,133678,,1
2,small-world,paranoid_max,300,50,200,399,300,150,150,157,143,78,65,72,85,108669,98194,,1
13,small-world,paranoid_max,300,50,200,399,300,150,150,148,152,57,95,93,55,45975,161886,,1
5,small-world,paranoid_max,300,50,200,399,300,150,150,138,162,55,107,95,43,62749,181891,,1
6,small-world,paranoid_max,300,50,200,399,300,150,150,135,165,65,100,85,50,66782,109492,,1
12,small-world,paranoid_max,300,50,200,399,300,150,150,176,124,56,68,94,82,52880,111292,,1
4,small-world,paranoid_max,300,50,200,399,300,150,150,156,144,58,86,92,64,58065,188323,,1
10,small-world,paranoid_max,300,50,200,399,300,150,150,146,154,73,81,77,69,111867,83447,,1
8,small-world,paranoid_max,300,50,200,399,300,150,150,163,137,55,82,95,68,66362,106576,,1
11,small-world,paranoid_max,300,50,200,399,300,150,150,159,141,66,75,84,75,83830,129921,,1
9,small-world,paranoid_max,300,50,200,399,300,150,150,150,150,72,78,78,72,130570,129865,,1
7,small-world,paranoid_max,300,50,200,399,300,150,150,159,141,75,66,75,84,81961,91032,,1
14,small-world,paranoid_max,300,50,200,399,300,150,150,141,159,48,111,102,39,50177,126301,,1
16,small-world,paranoid_max,300,50,200,399,300,150,150,163,137,49,88,101,62,45909,133352,,1
15,small-world,paranoid_max,300,50,200,399,300,150,150,160,140,61,79,89,71,76547,113765,,1
18,small-world,paranoid_max,300,50,200,399,300,150,150,153,147,52,95,98,55,39220,143054,,1
17,small-world,paranoid_max,300,50,200,399,300,150,150,144,156,60,96,90,54,105099,129929,,1
20,small-world,paranoid_max,300,50,200,399,300,150,150,158,142,74,68,76,82,74376,91102,,1
19,small-world,paranoid_max,300,50,200,399,300,150,150,149,151,67,84,83,66,86713,109060,,1
22,small-world,paranoid_max,300,50,200,399,300,150,150,138,162,65,97,85,53,78224,153450,,1
27,small-world,paranoid_max,300,50,200,399,300,150,150,142,158,52,106,98,44,52492,164783,,1
23,small-world,paranoid_max,300,50,200,399,300,150,150,140,160,75,85,75,65,78710,120389,,1
24,small-world,paranoid_max,300,50,200,399,300,150,150,138,162,57,105,93,45,42787,104874,,1
25,small-world,paranoid_max,300,50,200,399,300,150,150,145,155,50,105,100,45,42323,151829,,1
21,small-world,paranoid_max,300,50,200,399,300,150,150,143,157,53,104,97,46,61985,140854,,1
26,small-world,paranoid_max,300,50,200,399,300,150,150,138,162,66,96,84,54,83977,175075,,1
28,small-world,paranoid_max,300,50,200,399,300,150,150,151,149,84,65,66,85,135211,116699,,1
29,small-world,paranoid_max,300,50,200,399,300,150,150,161,139,81,58,69,92,88566,89635,,1
30,small-world,paranoid_max,300,50,200,399,300,150,150,158,142,72,70,78,80,124178,90689,,1
