run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3587,,0.09090909090909091
13,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3545,,0.07692307692307693
14,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3754,,0.1111111111111111
15,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3453,,0.06666666666666667
16,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3540,,0.1
7,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3552,,0.07142857142857142
3,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,4150,,0.08333333333333333
8,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3223,,0.058823529411764705
4,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3535,,0.07142857142857142
17,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3492,,0.08333333333333333
10,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3284,,0.06666666666666667
9,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3110,,0.05555555555555555
6,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3952,,0.1
5,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3688,,0.125
11,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,4249,,0.07142857142857142
2,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3863,,0.07692307692307693
12,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3762,,0.09090909090909091
21,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3619,,0.08333333333333333
30,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,4132,,0.09090909090909091
18,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3451,,0.08333333333333333
23,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,2274,,0.03225806451612903
19,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3586,,0.08333333333333333
22,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3985,,0.1
24,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3062,,0.07142857142857142
20,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3835,,0.08333333333333333
25,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3453,,0.07142857142857142
27,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3085,,0.0625
26,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3083,,0.07692307692307693
29,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,3326,,0.0625
28,small-world,paranoid_min,50,3,200,399,50,49,1,0,50,1,49,0,0,0,4026,,0.09090909090909091
