run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,small-world,paranoid_random,150,3,200,399,150,146,4,94,56,0,56,4,90,0,12248,,1
8,small-world,paranoid_random,150,3,200,399,150,146,4,7,143,1,142,3,4,586,48881,,0.2
13,small-world,paranoid_random,150,3,200,399,150,146,4,26,124,1,123,3,23,1958,36758,,0.14285714285714285
4,small-world,paranoid_random,150,3,200,399,150,146,4,9,141,0,141,4,5,295,46947,,0.3333333333333333
11,small-world,paranoid_random,150,3,200,399,150,146,4,4,146,0,146,4,0,0,42993,,1
10,small-world,paranoid_random,150,3,200,399,150,146,4,96,54,2,52,2,94,8452,13572,,1
3,small-world,paranoid_random,150,3,200,399,150,146,4,3,147,1,146,3,0,0,44295,,1
6,small-world,paranoid_random,150,3,200,399,150,146,4,4,146,1,145,3,1,295,46734,,1
7,small-world,paranoid_random,150,3,200,399,150,146,4,3,147,1,146,3,0,0,43802,,1
9,small-world,paranoid_random,150,3,200,399,150,146,4,3,147,1,146,3,0,0,45377,,0.5
2,small-world,paranoid_random,150,3,200,399,150,146,4,15,135,1,134,3,12,0,36159,,0.0625
12,small-world,paranoid_random,150,3,200,399,150,146,4,16,134,1,133,3,13,4532,41144,,0.3333333333333333
5,small-world,paranoid_random,150,3,200,399,150,146,4,14,136,1,135,3,11,0,34876,,1
15,small-world,paranoid_random,150,3,200,399,150,146,4,4,146,0,146,4,0,0,47445,,1
14,small-world,paranoid_random,150,3,200,399,150,146,4,6,144,0,144,4,2,724,40534,,1
16,small-world,paranoid_random,150,3,200,399,150,146,4,10,140,0,140,4,6,148,53453,,0.5
20,small-world,paranoid_random,150,3,200,399,150,146,4,5,145,0,145,4,1,0,32462,,0.3333333333333333
17,small-world,paranoid_random,150,3,200,399,150,146,4,10,140,1,139,3,7,148,43842,,1
26,small-world,paranoid_random,150,3,200,399,150,146,4,7,143,1,142,3,4,729,34213,,1
27,small-world,paranoid_random,150,3,200,399,150,146,4,17,133,0,133,4,13,0,52369,,1
18,small-world,paranoid_random,150,3,200,399,150,146,4,5,145,0,145,4,1,148,57189,,0.5
19,small-world,paranoid_random,150,3,200,399,150,146,4,3,147,1,146,3,0,0,45430,,1
21,small-world,paranoid_random,150,3,200,399,150,146,4,4,146,0,146,4,0,0,41624,,1
22,small-world,paranoid_random,150,3,200,399,150,146,4,7,143,0,143,4,3,0,40775,,1
28,small-world,paranoid_random,150,3,200,399,150,146,4,4,146,0,146,4,0,0,46592,,1
24,small-world,paranoid_random,150,3,200,399,150,146,4,4,146,0,146,4,0,0,39416,,1
23,small-world,paranoid_random,150,3,200,399,150,146,4,4,146,0,146,4,0,0,37674,,1
25,small-world,paranoid_random,150,3,200,399,150,146,4,4,146,1,145,3,1,295,43762,,1
29,small-world,paranoid_random,150,3,200,399,150,146,4,4,146,0,146,4,0,0,44601,,1
30,small-world,paranoid_random,150,3,200,399,150,146,4,4,146,0,146,4,0,0,43757,,1
