run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,small-world,standard_max,150,50,200,399,150,75,75,87,63,42,21,33,54,25125,14040,1,
13,small-world,standard_max,150,50,200,399,150,75,75,84,66,51,15,24,60,28597,5356,1,
6,small-world,standard_max,150,50,200,399,150,75,75,87,63,38,25,37,50,19799,17991,1,
9,small-world,standard_max,150,50,200,399,150,75,75,70,80,49,31,26,44,21617,14479,1,
7,small-world,standard_max,150,50,200,399,150,75,75,72,78,49,29,26,46,30203,10501,1,
8,small-world,standard_max,150,50,200,399,150,75,75,77,73,46,27,29,48,26537,16405,1,
3,small-world,standard_max,150,50,200,399,150,75,75,72,78,39,39,36,36,23853,26181,1,
11,small-world,standard_max,150,50,200,399,150,75,75,73,77,61,16,14,59,33412,4117,1,
5,small-world,standard_max,150,50,200,399,150,75,75,80,70,38,32,37,43,18574,13920,1,
12,small-world,standard_max,150,50,200,399,150,75,75,81,69,43,26,32,49,23577,11670,1,
4,small-world,standard_max,150,50,200,399,150,75,75,74,76,36,40,39,35,23895,23895,1,
10,small-world,standard_max,150,50,200,399,150,75,75,81,69,50,19,25,56,32771,7491,1,
14,small-world,standard_max,150,50,200,399,150,75,75,82,68,55,13,20,62,32817,3382,1,
2,small-world,standard_max,150,50,200,399,150,75,75,72,78,47,31,28,44,31939,20782,1,
25,small-world,standard_max,150,50,200,399,150,75,75,71,79,48,31,27,44,30612,12467,1,
16,small-world,standard_max,150,50,200,399,150,75,75,79,71,45,26,30,49,20060,12590,1,
15,small-world,standard_max,150,50,200,399,150,75,75,79,71,39,32,36,43,22124,19926,1,
21,small-world,standard_max,150,50,200,399,150,75,75,70,80,42,38,33,37,14771,24009,1,
17,small-world,standard_max,150,50,200,399,150,75,75,74,76,42,34,33,41,21777,15690,1,
18,small-world,standard_max,150,50,200,399,150,75,75,76,74,51,23,24,52,23067,10324,1,
19,small-world,standard_max,150,50,200,399,150,75,75,65,85,42,43,33,32,17933,26838,1,
27,small-world,standard_max,150,50,200,399,150,75,75,67,83,40,43,35,32,21205,20295,1,
20,small-world,standard_max,150,50,200,399,150,75,75,64,86,50,36,25,39,30212,9955,1,
23,small-world,standard_max,150,50,200,399,150,75,75,80,70,47,23,28,52,29156,13979,1,
26,small-world,standard_max,150,50,200,399,150,75,75,82,68,50,18,25,57,25779,8187,1,
24,small-world,standard_max,150,50,200,399,150,75,75,83,67,34,33,41,42,17988,19253,1,
22,small-world,standard_max,150,50,200,399,150,75,75,74,76,35,41,40,34,31066,20213,1,
28,small-world,standard_max,150,50,200,399,150,75,75,74,76,42,34,33,41,16269,15778,1,
29,small-world,standard_max,150,50,200,399,150,75,75,78,72,47,25,28,50,25182,11349,1,
30,small-world,standard_max,150,50,200,399,150,75,75,67,83,41,42,34,33,26848,19556,1,
