run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,small-world,standard_min,150,3,200,399,150,146,4,147,3,3,0,1,146,4348,0,0.03571428571428571,
13,small-world,standard_min,150,3,200,399,150,146,4,147,3,3,0,1,146,8027,0,0.06666666666666667,
6,small-world,standard_min,150,3,200,399,150,146,4,146,4,4,0,0,146,15673,0,0.04,
8,small-world,standard_min,150,3,200,399,150,146,4,145,5,4,1,0,145,4096,148,0.05,
12,small-world,standard_min,150,3,200,399,150,146,4,144,6,4,2,0,144,2757,442,0.05,
14,small-world,standard_min,150,3,200,399,150,146,4,146,4,4,0,0,146,9656,0,0.037037037037037035,
5,small-world,standard_min,150,3,200,399,150,146,4,144,6,4,2,0,144,5220,296,0.045454545454545456,
7,small-world,standard_min,150,3,200,399,150,146,4,147,3,3,0,1,146,884,0,0.02631578947368421,
11,small-world,standard_min,150,3,200,399,150,146,4,146,4,4,0,0,146,11854,0,0.047619047619047616,
9,small-world,standard_min,150,3,200,399,150,146,4,146,4,4,0,0,146,14785,0,0.029411764705882353,
2,small-world,standard_min,150,3,200,399,150,146,4,142,8,4,4,0,142,13577,589,0.02127659574468085,
10,small-world,standard_min,150,3,200,399,150,146,4,147,3,3,0,1,146,9633,0,0.07142857142857142,
3,small-world,standard_min,150,3,200,399,150,146,4,141,9,4,5,0,141,7774,736,0.058823529411764705,
4,small-world,standard_min,150,3,200,399,150,146,4,141,9,4,5,0,141,15022,883,0.06666666666666667,
18,small-world,standard_min,150,3,200,399,150,146,4,144,6,4,2,0,144,6288,295,0.07142857142857142,
16,small-world,standard_min,150,3,200,399,150,146,4,143,7,4,3,0,143,11855,588,0.05555555555555555,
17,small-world,standard_min,150,3,200,399,150,146,4,131,19,4,15,0,131,13361,3986,0.038461538461538464,
19,small-world,standard_min,150,3,200,399,150,146,4,146,4,4,0,0,146,9842,0,0.038461538461538464,
27,small-world,standard_min,150,3,200,399,150,146,4,143,7,4,3,0,143,4927,441,0.038461538461538464,
21,small-world,standard_min,150,3,200,399,150,146,4,145,5,3,2,1,144,7431,296,0.0625,
15,small-world,standard_min,150,3,200,399,150,146,4,145,5,4,1,0,145,4972,148,0.038461538461538464,
23,small-world,standard_min,150,3,200,399,150,146,4,146,4,4,0,0,146,15494,0,0.037037037037037035,
20,small-world,standard_min,150,3,200,399,150,146,4,142,8,4,4,0,142,14196,736,0.058823529411764705,
22,small-world,standard_min,150,3,200,399,150,146,4,145,5,3,2,1,144,9422,296,0.05555555555555555,
25,small-world,standard_min,150,3,200,399,150,146,4,147,3,3,0,1,146,884,0,0.023809523809523808,
26,small-world,standard_min,150,3,200,399,150,146,4,143,7,4,3,0,143,17441,441,0.07142857142857142,
24,small-world,standard_min,150,3,200,399,150,146,4,75,75,2,73,2,73,8363,21756,0.041666666666666664,
28,small-world,standard_min,150,3,200,399,150,146,4,146,4,4,0,0,146,1316,0,0.041666666666666664,
29,small-world,standard_min,150,3,200,399,150,146,4,140,10,4,6,0,140,10966,1030,0.037037037037037035,
30,small-world,standard_min,150,3,200,399,150,146,4,145,5,4,1,0,145,3315,148,0.05263157894736842,
