run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,small-world,standard_random,300,12,200,399,300,264,36,245,55,28,27,8,237,90514,15583,1,
4,small-world,standard_random,300,12,200,399,300,264,36,254,46,34,12,2,252,88000,4753,1,
3,small-world,standard_random,300,12,200,399,300,264,36,209,91,28,63,8,201,130920,54559,1,
9,small-world,standard_random,300,12,200,399,300,264,36,198,102,24,78,12,186,115108,41290,0.3333333333333333,
7,small-world,standard_random,300,12,200,399,300,264,36,247,53,36,17,0,247,143929,6804,0.5,
10,small-world,standard_random,300,12,200,399,300,264,36,228,72,28,44,8,220,121166,37529,1,
13,small-world,standard_random,300,12,200,399,300,264,36,163,137,19,118,17,146,67790,115557,1,
8,small-world,standard_random,300,12,200,399,300,264,36,223,77,25,52,11,212,104869,47060,1,
5,small-world,standard_random,300,12,200,399,300,264,36,248,52,31,21,5,243,97375,9782,1,
11,small-world,standard_random,300,12,200,399,300,264,36,242,58,30,28,6,236,104968,14324,0.3333333333333333,
6,small-world,standard_random,300,12,200,399,300,264,36,179,121,20,101,16,163,94480,74708,1,
12,small-world,standard_random,300,12,200,399,300,264,36,227,73,27,46,9,218,138421,22428,1,
2,small-world,standard_random,300,12,200,399,300,264,36,235,65,29,36,7,228,109447,19096,1,
14,small-world,standard_random,300,12,200,399,300,264,36,215,85,24,61,12,203,112847,34309,1,
16,small-world,standard_random,300,12,200,399,300,264,36,252,48,34,14,2,250,145425,5938,1,
19,small-world,standard_random,300,12,200,399,300,264,36,224,76,32,44,4,220,127127,27840,0.2,
15,small-world,standard_random,300,12,200,399,300,264,36,237,63,28,35,8,229,120844,22933,0.5,
18,small-world,standard_random,300,12,200,399,300,264,36,234,66,27,39,9,225,131052,18796,1,
26,small-world,standard_random,300,12,200,399,300,264,36,210,90,28,62,8,202,105336,38302,1,
20,small-world,standard_random,300,12,200,399,300,264,36,253,47,29,18,7,246,149909,7988,1,
17,small-world,standard_random,300,12,200,399,300,264,36,263,37,32,5,4,259,109059,1490,1,
23,small-world,standard_random,300,12,200,399,300,264,36,225,75,33,42,3,222,99145,18212,1,
21,small-world,standard_random,300,12,200,399,300,264,36,246,54,31,23,5,241,107453,10082,0.5,
25,small-world,standard_random,300,12,200,399,300,264,36,90,210,10,200,26,64,25238,202918,1,
24,small-world,standard_random,300,12,200,399,300,264,36,179,121,23,98,13,166,93800,71179,1,
22,small-world,standard_random,300,12,200,399,300,264,36,195,105,21,84,15,180,91887,65881,1,
27,small-world,standard_random,300,12,200,399,300,264,36,248,52,27,25,9,239,94661,15144,1,
28,small-world,standard_random,300,12,200,399,300,264,36,252,48,31,17,5,247,145923,10569,1,
29,small-world,standard_random,300,12,200,399,300,264,36,247,53,32,21,4,243,117681,7135,1,
30,small-world,standard_random,300,12,200,399,300,264,36,220,80,29,51,7,213,114188,35266,1,
